obj,label,input,tar
a,"['r', 'ai', 't', 'i', 'n', 'g']","['r', 'a', 't', 'i', 'n', 'g']",ai
r,"['rv', 'a', 't', 'e']","['r', 'a', 't', 'e']",rv
r,"['g', 'o', 'v', 'e', 'ra', 'n', 'm', 'e', 'n', 't']","['g', 'o', 'v', 'e', 'r', 'n', 'm', 'e', 'n', 't']",ra
d,"['c', 'h', 'i', 'l', 'ds', 'r', 'e', 'n']","['c', 'h', 'i', 'l', 'd', 'r', 'e', 'n']",ds
g,"['d', 'u', 'r', 'i', 'n', 'gm']","['d', 'u', 'r', 'i', 'n', 'g']",gm
a,"['u', 's', 'aw']","['u', 's', 'a']",aw
n,"['r', 'e', 't', 'u', 'r', 'ns']","['r', 'e', 't', 'u', 'r', 'n']",ns
d,"['s', 't', 'u', 'db', 'e', 'n', 't', 's']","['s', 't', 'u', 'd', 'e', 'n', 't', 's']",db
s,"['st', 'h', 'o', 'p', 'p', 'i', 'n', 'g']","['s', 'h', 'o', 'p', 'p', 'i', 'n', 'g']",st
o,"['a', 'c', 'c', 'om', 'u', 'n', 't']","['a', 'c', 'c', 'o', 'u', 'n', 't']",om
t,"['tc', 'i', 'm', 'e', 's']","['t', 'i', 'm', 'e', 's']",tc
i,"['s', 'io', 't', 'e', 's']","['s', 'i', 't', 'e', 's']",io
l,"['ls', 'e', 'v', 'e', 'ls']","['l', 'e', 'v', 'e', 'l']",ls
d,"['dx', 'i', 'g', 'i', 't', 'a', 'l']","['d', 'i', 'g', 'i', 't', 'a', 'l']",dx
r,"['p', 'rt', 'o', 'f', 'i', 'l', 'e']","['p', 'r', 'o', 'f', 'i', 'l', 'e']",rt
o,"['p', 'r', 'e', 'v', 'i', 'op', 'u', 's']","['p', 'r', 'e', 'v', 'i', 'o', 'u', 's']",op
r,"['f', 'o', 'rb', 'm']","['f', 'o', 'r', 'm']",rb
n,"['e', 'v', 'e', 'nr', 't', 's']","['e', 'v', 'e', 'n', 't', 's']",nr
l,"['lj', 'o', 'v', 'e']","['l', 'o', 'v', 'e']",lj
o,"['ob', 'l', 'd']","['o', 'l', 'd']",ob
j,"['jl', 'o', 'h', 'n']","['j', 'o', 'h', 'n']",jl
a,"['m', 'ad', 'i', 'n']","['m', 'a', 'i', 'n']",ad
l,"['c', 'a', 'lx', 'lx']","['c', 'a', 'l', 'l']",lx
o,"['h', 'od', 'u', 'r', 's']","['h', 'o', 'u', 'r', 's']",od
e,"['i', 'm', 'a', 'g', 'el']","['i', 'm', 'a', 'g', 'e']",el
d,"['dj', 'e', 'p', 'a', 'r', 't', 'm', 'e', 'n', 't']","['d', 'e', 'p', 'a', 'r', 't', 'm', 'e', 'n', 't']",dj
t,"['tw', 'i', 'tw', 'l', 'e']","['t', 'i', 't', 'l', 'e']",tw
p,"['d', 'e', 's', 'c', 'r', 'i', 'ps', 't', 'i', 'o', 'n']","['d', 'e', 's', 'c', 'r', 'i', 'p', 't', 'i', 'o', 'n']",ps
o,"['n', 'od', 'n']","['n', 'o', 'n']",od
a,"['i', 'n', 's', 'u', 'r', 'an', 'n', 'c', 'e']","['i', 'n', 's', 'u', 'r', 'a', 'n', 'c', 'e']",an
e,"['a', 'n', 'o', 't', 'h', 'ev', 'r']","['a', 'n', 'o', 't', 'h', 'e', 'r']",ev
w,"['wp', 'h', 'y']","['w', 'h', 'y']",wp
l,"['s', 'h', 'a', 'lc', 'lc']","['s', 'h', 'a', 'l', 'l']",lc
y,"['p', 'r', 'o', 'p', 'e', 'r', 't', 'yl']","['p', 'r', 'o', 'p', 'e', 'r', 't', 'y']",yl
a,"['c', 'l', 'af', 's', 's']","['c', 'l', 'a', 's', 's']",af
s,"['sc', 't', 'i', 'l', 'l']","['s', 't', 'i', 'l', 'l']",sc
n,"['m', 'o', 'nh', 'e', 'y']","['m', 'o', 'n', 'e', 'y']",nh
a,"['q', 'u', 'ar', 'l', 'i', 't', 'y']","['q', 'u', 'a', 'l', 'i', 't', 'y']",ar
r,"['e', 'v', 'e', 'rc', 'y']","['e', 'v', 'e', 'r', 'y']",rc
t,"['l', 'i', 's', 'ti', 'i', 'n', 'g']","['l', 'i', 's', 't', 'i', 'n', 'g']",ti
n,"['c', 'o', 'nq', 't', 'e', 'nq', 't']","['c', 'o', 'n', 't', 'e', 'n', 't']",nq
r,"['c', 'o', 'u', 'n', 't', 'rq', 'y']","['c', 'o', 'u', 'n', 't', 'r', 'y']",rq
e,"['p', 'r', 'i', 'v', 'a', 't', 'ea']","['p', 'r', 'i', 'v', 'a', 't', 'e']",ea
t,"['l', 'i', 'tl', 'tl', 'l', 'e']","['l', 'i', 't', 't', 'l', 'e']",tl
i,"['v', 'iz', 's', 'iz', 't']","['v', 'i', 's', 'i', 't']",iz
e,"['s', 'a', 'v', 'ef']","['s', 'a', 'v', 'e']",ef
o,"['t', 'oi', 'oi', 'l', 's']","['t', 'o', 'o', 'l', 's']",oi
w,"['l', 'o', 'wk']","['l', 'o', 'w']",wk
y,"['r', 'e', 'p', 'l', 'yo']","['r', 'e', 'p', 'l', 'y']",yo
r,"['c', 'u', 's', 't', 'o', 'm', 'e', 'ry']","['c', 'u', 's', 't', 'o', 'm', 'e', 'r']",ry
d,"['df', 'e', 'c', 'e', 'm', 'b', 'e', 'r']","['d', 'e', 'c', 'e', 'm', 'b', 'e', 'r']",df
c,"['ck', 'o', 'm', 'p', 'a', 'r', 'e']","['c', 'o', 'm', 'p', 'a', 'r', 'e']",ck
s,"['m', 'o', 'v', 'i', 'e', 'sq']","['m', 'o', 'v', 'i', 'e', 's']",sq
l,"['i', 'n', 'c', 'lv', 'u', 'd', 'e']","['i', 'n', 'c', 'l', 'u', 'd', 'e']",lv
l,"['c', 'o', 'lz', 'lz', 'e', 'g', 'e']","['c', 'o', 'l', 'l', 'e', 'g', 'e']",lz
v,"['vg', 'a', 'l', 'u', 'e']","['v', 'a', 'l', 'u', 'e']",vg
i,"['a', 'r', 't', 'ih', 'c', 'l', 'e']","['a', 'r', 't', 'i', 'c', 'l', 'e']",ih
r,"['y', 'o', 'rx', 'k']","['y', 'o', 'r', 'k']",rx
a,"['m', 'ag', 'n']","['m', 'a', 'n']",ag
d,"['c', 'a', 'r', 'dz']","['c', 'a', 'r', 'd']",dz
b,"['j', 'o', 'bm', 's']","['j', 'o', 'b', 's']",bm
e,"['p', 'r', 'o', 'v', 'i', 'd', 'ek']","['p', 'r', 'o', 'v', 'i', 'd', 'e']",ek
f,"['fr', 'o', 'o', 'd']","['f', 'o', 'o', 'd']",fr
o,"['s', 'ob', 'u', 'r', 'c', 'e']","['s', 'o', 'u', 'r', 'c', 'e']",ob
o,"['a', 'u', 't', 'h', 'or', 'r']","['a', 'u', 't', 'h', 'o', 'r']",or
f,"['d', 'i', 'fz', 'fz', 'e', 'r', 'e', 'n', 't']","['d', 'i', 'f', 'f', 'e', 'r', 'e', 'n', 't']",fz
r,"['p', 'rd', 'e', 's', 's']","['p', 'r', 'e', 's', 's']",rd
a,"['l', 'e', 'ak', 'r', 'n']","['l', 'e', 'a', 'r', 'n']",ak
a,"['s', 'an', 'l', 'e']","['s', 'a', 'l', 'e']",an
a,"['ax', 'r', 'o', 'u', 'n', 'd']","['a', 'r', 'o', 'u', 'n', 'd']",ax
t,"['p', 'r', 'i', 'n', 'tx']","['p', 'r', 'i', 'n', 't']",tx
u,"['c', 'o', 'ud', 'r', 's', 'e']","['c', 'o', 'u', 'r', 's', 'e']",ud
b,"['j', 'o', 'bg']","['j', 'o', 'b']",bg
d,"['c', 'a', 'n', 'a', 'dw', 'a']","['c', 'a', 'n', 'a', 'd', 'a']",dw
r,"['p', 're', 'o', 'c', 'e', 's', 's']","['p', 'r', 'o', 'c', 'e', 's', 's']",re
e,"['t', 'ez', 'ez', 'n']","['t', 'e', 'e', 'n']",ez
m,"['r', 'o', 'o', 'mc']","['r', 'o', 'o', 'm']",mc
k,"['s', 't', 'o', 'c', 'kr']","['s', 't', 'o', 'c', 'k']",kr
g,"['t', 'r', 'a', 'i', 'n', 'i', 'n', 'gu']","['t', 'r', 'a', 'i', 'n', 'i', 'n', 'g']",gu
t,"['tu', 'o', 'o']","['t', 'o', 'o']",tu
r,"['c', 'rm', 'e', 'd', 'i', 't']","['c', 'r', 'e', 'd', 'i', 't']",rm
p,"['pn', 'o', 'i', 'n', 't']","['p', 'o', 'i', 'n', 't']",pn
n,"['j', 'o', 'i', 'nw']","['j', 'o', 'i', 'n']",nw
c,"['s', 'co', 'i', 'e', 'n', 'co', 'e']","['s', 'c', 'i', 'e', 'n', 'c', 'e']",co
m,"['mc', 'e', 'n']","['m', 'e', 'n']",mc
t,"['c', 'a', 'ty', 'e', 'g', 'o', 'r', 'i', 'e', 's']","['c', 'a', 't', 'e', 'g', 'o', 'r', 'i', 'e', 's']",ty
n,"['a', 'd', 'v', 'a', 'nh', 'c', 'e', 'd']","['a', 'd', 'v', 'a', 'n', 'c', 'e', 'd']",nh
w,"['wp', 'e', 's', 't']","['w', 'e', 's', 't']",wp
e,"['s', 'a', 'l', 'eg', 's']","['s', 'a', 'l', 'e', 's']",eg
l,"['ls', 'o', 'o', 'k']","['l', 'o', 'o', 'k']",ls
s,"['e', 'n', 'g', 'l', 'i', 'so', 'h']","['e', 'n', 'g', 'l', 'i', 's', 'h']",so
l,"['lh', 'e', 'f', 't']","['l', 'e', 'f', 't']",lh
t,"['td', 'e', 'a', 'm']","['t', 'e', 'a', 'm']",td
a,"['e', 's', 't', 'ar', 't', 'e']","['e', 's', 't', 'a', 't', 'e']",ar
o,"['b', 'ov', 'x']","['b', 'o', 'x']",ov
d,"['c', 'o', 'n', 'dk', 'i', 't', 'i', 'o', 'n', 's']","['c', 'o', 'n', 'd', 'i', 't', 'i', 'o', 'n', 's']",dk
c,"['s', 'e', 'l', 'e', 'co', 't']","['s', 'e', 'l', 'e', 'c', 't']",co
d,"['w', 'i', 'n', 'dy', 'o', 'w', 's']","['w', 'i', 'n', 'd', 'o', 'w', 's']",dy
t,"['p', 'h', 'o', 'tz', 'o', 's']","['p', 'h', 'o', 't', 'o', 's']",tz
y,"['g', 'a', 'yf']","['g', 'a', 'y']",yf
r,"['t', 'h', 'ri', 'e', 'a', 'd']","['t', 'h', 'r', 'e', 'a', 'd']",ri
w,"['wn', 'e', 'e', 'k']","['w', 'e', 'e', 'k']",wn
t,"['c', 'a', 'tz', 'e', 'g', 'o', 'r', 'y']","['c', 'a', 't', 'e', 'g', 'o', 'r', 'y']",tz
o,"['n', 'oj', 't', 'e']","['n', 'o', 't', 'e']",oj
i,"['l', 'ig', 'v', 'e']","['l', 'i', 'v', 'e']",ig
e,"['l', 'a', 'r', 'g', 'ed']","['l', 'a', 'r', 'g', 'e']",ed
a,"['g', 'ax', 'l', 'l', 'e', 'r', 'y']","['g', 'a', 'l', 'l', 'e', 'r', 'y']",ax
l,"['t', 'a', 'b', 'ly', 'e']","['t', 'a', 'b', 'l', 'e']",ly
e,"['r', 'eg', 'g', 'i', 's', 't', 'eg', 'r']","['r', 'e', 'g', 'i', 's', 't', 'e', 'r']",eg
e,"['h', 'o', 'w', 'ep', 'v', 'ep', 'r']","['h', 'o', 'w', 'e', 'v', 'e', 'r']",ep
n,"['j', 'u', 'nn', 'e']","['j', 'u', 'n', 'e']",nn
e,"['o', 'c', 't', 'o', 'b', 'ep', 'r']","['o', 'c', 't', 'o', 'b', 'e', 'r']",ep
n,"['nt', 'o', 'v', 'e', 'm', 'b', 'e', 'r']","['n', 'o', 'v', 'e', 'm', 'b', 'e', 'r']",nt
r,"['m', 'a', 'rp', 'k', 'e', 't']","['m', 'a', 'r', 'k', 'e', 't']",rp
i,"['l', 'ib', 'b', 'r', 'a', 'r', 'y']","['l', 'i', 'b', 'r', 'a', 'r', 'y']",ib
e,"['r', 'ef', 'a', 'l', 'l', 'y']","['r', 'e', 'a', 'l', 'l', 'y']",ef
n,"['a', 'c', 't', 'i', 'o', 'no']","['a', 'c', 't', 'i', 'o', 'n']",no
s,"['sw', 't', 'a', 'r', 't']","['s', 't', 'a', 'r', 't']",sw
i,"['s', 'e', 'r', 'ic', 'e', 's']","['s', 'e', 'r', 'i', 'e', 's']",ic
d,"['m', 'o', 'dj', 'e', 'l']","['m', 'o', 'd', 'e', 'l']",dj
f,"['fi', 'e', 'a', 't', 'u', 'r', 'e', 's']","['f', 'e', 'a', 't', 'u', 'r', 'e', 's']",fi
r,"['a', 'i', 'rt']","['a', 'i', 'r']",rt
u,"['i', 'n', 'd', 'us', 's', 't', 'r', 'y']","['i', 'n', 'd', 'u', 's', 't', 'r', 'y']",us
p,"['pz', 'l', 'a', 'n']","['p', 'l', 'a', 'n']",pz
a,"['h', 'u', 'm', 'al', 'n']","['h', 'u', 'm', 'a', 'n']",al
e,"['p', 'r', 'o', 'v', 'i', 'd', 'er', 'd']","['p', 'r', 'o', 'v', 'i', 'd', 'e', 'd']",er
s,"['y', 'e', 'sh']","['y', 'e', 's']",sh
r,"['rd', 'e', 'q', 'u', 'i', 'rd', 'e', 'd']","['r', 'e', 'q', 'u', 'i', 'r', 'e', 'd']",rd
s,"['sz', 'e', 'c', 'o', 'n', 'd']","['s', 'e', 'c', 'o', 'n', 'd']",sz
h,"['hk', 'o', 't']","['h', 'o', 't']",hk
s,"['a', 'c', 'c', 'e', 'sb', 'sb', 'o', 'r', 'i', 'e', 'sb']","['a', 'c', 'c', 'e', 's', 's', 'o', 'r', 'i', 'e', 's']",sb
c,"['cq', 'o', 's', 't']","['c', 'o', 's', 't']",cq
e,"['m', 'o', 'v', 'i', 'ed']","['m', 'o', 'v', 'i', 'e']",ed
u,"['f', 'o', 'r', 'um', 'm', 's']","['f', 'o', 'r', 'u', 'm', 's']",um
h,"['m', 'a', 'r', 'c', 'hj']","['m', 'a', 'r', 'c', 'h']",hj
s,"['sz', 'e', 'p', 't', 'e', 'm', 'b', 'e', 'r']","['s', 'e', 'p', 't', 'e', 'm', 'b', 'e', 'r']",sz
t,"['b', 'e', 'tc', 'tc', 'e', 'r']","['b', 'e', 't', 't', 'e', 'r']",tc
y,"['s', 'a', 'yh']","['s', 'a', 'y']",yh
t,"['q', 'u', 'e', 's', 'tf', 'i', 'o', 'n', 's']","['q', 'u', 'e', 's', 't', 'i', 'o', 'n', 's']",tf
l,"['j', 'u', 'lm', 'y']","['j', 'u', 'l', 'y']",lm
a,"['y', 'ae', 'h', 'o', 'o']","['y', 'a', 'h', 'o', 'o']",ae
n,"['g', 'o', 'i', 'nk', 'g']","['g', 'o', 'i', 'n', 'g']",nk
e,"['m', 'ec', 'd', 'i', 'c', 'a', 'l']","['m', 'e', 'd', 'i', 'c', 'a', 'l']",ec
e,"['t', 'ey', 's', 't']","['t', 'e', 's', 't']",ey
d,"['f', 'r', 'i', 'e', 'n', 'dd']","['f', 'r', 'i', 'e', 'n', 'd']",dd
e,"['c', 'o', 'm', 'ey']","['c', 'o', 'm', 'e']",ey
e,"['d', 'ef', 'c']","['d', 'e', 'c']",ef
s,"['sv', 'e', 'r', 'v', 'e', 'r']","['s', 'e', 'r', 'v', 'e', 'r']",sv
d,"['s', 't', 'u', 'du', 'y']","['s', 't', 'u', 'd', 'y']",du
l,"['a', 'p', 'p', 'lo', 'i', 'c', 'a', 't', 'i', 'o', 'n']","['a', 'p', 'p', 'l', 'i', 'c', 'a', 't', 'i', 'o', 'n']",lo
a,"['c', 'ak', 'r', 't']","['c', 'a', 'r', 't']",ak
t,"['s', 'tt', 'a', 'f', 'f']","['s', 't', 'a', 'f', 'f']",tt
i,"['a', 'r', 't', 'in', 'c', 'l', 'e', 's']","['a', 'r', 't', 'i', 'c', 'l', 'e', 's']",in
s,"['sy', 'a', 'n']","['s', 'a', 'n']",sy
a,"['f', 'e', 'e', 'd', 'b', 'an', 'c', 'k']","['f', 'e', 'e', 'd', 'b', 'a', 'c', 'k']",an
n,"['a', 'g', 'a', 'i', 'nb']","['a', 'g', 'a', 'i', 'n']",nb
a,"['p', 'l', 'aa', 'y']","['p', 'l', 'a', 'y']",aa
i,"['l', 'o', 'o', 'k', 'ia', 'n', 'g']","['l', 'o', 'o', 'k', 'i', 'n', 'g']",ia
s,"['i', 'sa', 'sa', 'u', 'e', 'sa']","['i', 's', 's', 'u', 'e', 's']",sa
p,"['a', 'pn', 'r', 'i', 'l']","['a', 'p', 'r', 'i', 'l']",pn
n,"['nt', 'e', 'v', 'e', 'r']","['n', 'e', 'v', 'e', 'r']",nt
r,"['u', 's', 'e', 'ri', 's']","['u', 's', 'e', 'r', 's']",ri
e,"['c', 'o', 'm', 'p', 'l', 'ep', 't', 'ep']","['c', 'o', 'm', 'p', 'l', 'e', 't', 'e']",ep
t,"['s', 'tu', 'r', 'e', 'e', 'tu']","['s', 't', 'r', 'e', 'e', 't']",tu
t,"['tw', 'o', 'p', 'i', 'c']","['t', 'o', 'p', 'i', 'c']",tw
o,"['c', 'ok', 'm', 'm', 'e', 'n', 't']","['c', 'o', 'm', 'm', 'e', 'n', 't']",ok
c,"['f', 'i', 'n', 'a', 'n', 'cz', 'i', 'a', 'l']","['f', 'i', 'n', 'a', 'n', 'c', 'i', 'a', 'l']",cz
g,"['t', 'h', 'i', 'n', 'gl', 's']","['t', 'h', 'i', 'n', 'g', 's']",gl
r,"['w', 'o', 'ro', 'k', 'i', 'n', 'g']","['w', 'o', 'r', 'k', 'i', 'n', 'g']",ro
i,"['a', 'g', 'a', 'iv', 'n', 's', 't']","['a', 'g', 'a', 'i', 'n', 's', 't']",iv
t,"['s', 'th', 'a', 'n', 'd', 'a', 'r', 'd']","['s', 't', 'a', 'n', 'd', 'a', 'r', 'd']",th
a,"['t', 'ad', 'x']","['t', 'a', 'x']",ad
e,"['p', 'ea', 'r', 's', 'o', 'n']","['p', 'e', 'r', 's', 'o', 'n']",ea
b,"['bk', 'e', 'l', 'o', 'w']","['b', 'e', 'l', 'o', 'w']",bk
o,"['m', 'of', 'b', 'i', 'l', 'e']","['m', 'o', 'b', 'i', 'l', 'e']",of
e,"['l', 'eb', 's', 's']","['l', 'e', 's', 's']",eb
g,"['gk', 'o', 't']","['g', 'o', 't']",gk
l,"['b', 'lh', 'o', 'g']","['b', 'l', 'o', 'g']",lh
p,"['pc', 'a', 'r', 't', 'y']","['p', 'a', 'r', 't', 'y']",pc
a,"['p', 'ad', 'y', 'm', 'e', 'n', 't']","['p', 'a', 'y', 'm', 'e', 'n', 't']",ad
i,"['e', 'q', 'u', 'iy', 'p', 'm', 'e', 'n', 't']","['e', 'q', 'u', 'i', 'p', 'm', 'e', 'n', 't']",iy
o,"['l', 'ow', 'g', 'i', 'n']","['l', 'o', 'g', 'i', 'n']",ow
d,"['s', 't', 'u', 'ds', 'e', 'n', 't']","['s', 't', 'u', 'd', 'e', 'n', 't']",ds
t,"['l', 'e', 'to']","['l', 'e', 't']",to
s,"['p', 'r', 'o', 'g', 'r', 'a', 'm', 'se']","['p', 'r', 'o', 'g', 'r', 'a', 'm', 's']",se
e,"['o', 'f', 'f', 'et', 'r', 's']","['o', 'f', 'f', 'e', 'r', 's']",et
a,"['l', 'e', 'g', 'at', 'l']","['l', 'e', 'g', 'a', 'l']",at
o,"['a', 'b', 'ou', 'v', 'e']","['a', 'b', 'o', 'v', 'e']",ou
t,"['r', 'e', 'c', 'e', 'n', 'th']","['r', 'e', 'c', 'e', 'n', 't']",th
k,"['p', 'a', 'r', 'kt']","['p', 'a', 'r', 'k']",kt
e,"['s', 't', 'o', 'r', 'er', 's']","['s', 't', 'o', 'r', 'e', 's']",er
d,"['s', 'i', 'dz', 'e']","['s', 'i', 'd', 'e']",dz
a,"['af', 'c', 't']","['a', 'c', 't']",af
l,"['p', 'r', 'o', 'b', 'lj', 'e', 'm']","['p', 'r', 'o', 'b', 'l', 'e', 'm']",lj
d,"['r', 'e', 'dj']","['r', 'e', 'd']",dj
e,"['g', 'i', 'v', 'ed']","['g', 'i', 'v', 'e']",ed
e,"['m', 'et', 'm', 'o', 'r', 'y']","['m', 'e', 'm', 'o', 'r', 'y']",et
a,"['p', 'e', 'r', 'f', 'o', 'r', 'm', 'aa', 'n', 'c', 'e']","['p', 'e', 'r', 'f', 'o', 'r', 'm', 'a', 'n', 'c', 'e']",aa
i,"['s', 'o', 'c', 'iw', 'a', 'l']","['s', 'o', 'c', 'i', 'a', 'l']",iw
s,"['a', 'u', 'g', 'u', 'se', 't']","['a', 'u', 'g', 'u', 's', 't']",se
u,"['q', 'uy', 'o', 't', 'e']","['q', 'u', 'o', 't', 'e']",uy
e,"['l', 'a', 'n', 'g', 'u', 'a', 'g', 'ef']","['l', 'a', 'n', 'g', 'u', 'a', 'g', 'e']",ef
o,"['s', 't', 'oq', 'r', 'y']","['s', 't', 'o', 'r', 'y']",oq
e,"['s', 'ep', 'l', 'l']","['s', 'e', 'l', 'l']",ep
n,"['o', 'p', 't', 'i', 'o', 'nt', 's']","['o', 'p', 't', 'i', 'o', 'n', 's']",nt
x,"['e', 'xh', 'p', 'e', 'r', 'i', 'e', 'n', 'c', 'e']","['e', 'x', 'p', 'e', 'r', 'i', 'e', 'n', 'c', 'e']",xh
e,"['r', 'a', 't', 'en', 's']","['r', 'a', 't', 'e', 's']",en
c,"['cu', 'r', 'e', 'a', 't', 'e']","['c', 'r', 'e', 'a', 't', 'e']",cu
k,"['kk', 'e', 'y']","['k', 'e', 'y']",kk
o,"['b', 'os', 'd', 'y']","['b', 'o', 'd', 'y']",os
o,"['y', 'oa', 'u', 'n', 'g']","['y', 'o', 'u', 'n', 'g']",oa
i,"['a', 'm', 'e', 'r', 'ii', 'c', 'a']","['a', 'm', 'e', 'r', 'i', 'c', 'a']",ii
o,"['i', 'm', 'p', 'og', 'r', 't', 'a', 'n', 't']","['i', 'm', 'p', 'o', 'r', 't', 'a', 'n', 't']",og
f,"['fo', 'i', 'e', 'l', 'd']","['f', 'i', 'e', 'l', 'd']",fo
e,"['f', 'ev', 'w']","['f', 'e', 'w']",ev
t,"['e', 'a', 's', 'tl']","['e', 'a', 's', 't']",tl
e,"['p', 'a', 'p', 'es', 'r']","['p', 'a', 'p', 'e', 'r']",es
i,"['s', 'iv', 'n', 'g', 'l', 'e']","['s', 'i', 'n', 'g', 'l', 'e']",iv
e,"['a', 'g', 'eo']","['a', 'g', 'e']",eo
c,"['a', 'cp', 't', 'i', 'v', 'i', 't', 'i', 'e', 's']","['a', 'c', 't', 'i', 'v', 'i', 't', 'i', 'e', 's']",cp
b,"['c', 'l', 'u', 'bb']","['c', 'l', 'u', 'b']",bb
l,"['e', 'x', 'a', 'm', 'p', 'lq', 'e']","['e', 'x', 'a', 'm', 'p', 'l', 'e']",lq
r,"['g', 'i', 'rx', 'l', 's']","['g', 'i', 'r', 'l', 's']",rx
t,"['a', 'd', 'd', 'i', 'tb', 'i', 'o', 'n', 'a', 'l']","['a', 'd', 'd', 'i', 't', 'i', 'o', 'n', 'a', 'l']",tb
a,"['p', 'aq', 's', 's', 'w', 'o', 'r', 'd']","['p', 'a', 's', 's', 'w', 'o', 'r', 'd']",aq
e,"['l', 'a', 't', 'eq', 's', 't']","['l', 'a', 't', 'e', 's', 't']",eq
h,"['s', 'o', 'm', 'e', 't', 'ha', 'i', 'n', 'g']","['s', 'o', 'm', 'e', 't', 'h', 'i', 'n', 'g']",ha
a,"['r', 'o', 'az', 'd']","['r', 'o', 'a', 'd']",az
i,"['g', 'ip', 'f', 't']","['g', 'i', 'f', 't']",ip
u,"['q', 'uc', 'e', 's', 't', 'i', 'o', 'n']","['q', 'u', 'e', 's', 't', 'i', 'o', 'n']",uc
h,"['c', 'ht', 'a', 'n', 'g', 'e', 's']","['c', 'h', 'a', 'n', 'g', 'e', 's']",ht
n,"['ng', 'i', 'g', 'h', 't']","['n', 'i', 'g', 'h', 't']",ng
a,"['h', 'an', 'r', 'd']","['h', 'a', 'r', 'd']",an
s,"['t', 'e', 'x', 'a', 'sy']","['t', 'e', 'x', 'a', 's']",sy
t,"['o', 'c', 'tt']","['o', 'c', 't']",tt
y,"['p', 'a', 'yy']","['p', 'a', 'y']",yy
r,"['f', 'o', 'u', 'ro']","['f', 'o', 'u', 'r']",ro
o,"['p', 'ox', 'k', 'e', 'r']","['p', 'o', 'k', 'e', 'r']",ox
u,"['s', 't', 'a', 't', 'ur', 's']","['s', 't', 'a', 't', 'u', 's']",ur
w,"['b', 'r', 'o', 'wj', 's', 'e']","['b', 'r', 'o', 'w', 's', 'e']",wj
e,"['i', 's', 's', 'u', 'ed']","['i', 's', 's', 'u', 'e']",ed
a,"['r', 'ao', 'n', 'g', 'e']","['r', 'a', 'n', 'g', 'e']",ao
u,"['b', 'ux', 'i', 'l', 'd', 'i', 'n', 'g']","['b', 'u', 'i', 'l', 'd', 'i', 'n', 'g']",ux
l,"['s', 'e', 'ld', 'ld', 'e', 'r']","['s', 'e', 'l', 'l', 'e', 'r']",ld
t,"['c', 'o', 'u', 'r', 'tt']","['c', 'o', 'u', 'r', 't']",tt
r,"['f', 'e', 'b', 'rr', 'u', 'a', 'rr', 'y']","['f', 'e', 'b', 'r', 'u', 'a', 'r', 'y']",rr
l,"['a', 'lr', 'w', 'a', 'y', 's']","['a', 'l', 'w', 'a', 'y', 's']",lr
s,"['r', 'e', 'sp', 'u', 'l', 't']","['r', 'e', 's', 'u', 'l', 't']",sp
u,"['a', 'uv', 'd', 'i', 'o']","['a', 'u', 'd', 'i', 'o']",uv
i,"['l', 'il', 'g', 'h', 't']","['l', 'i', 'g', 'h', 't']",il
e,"['w', 'r', 'i', 't', 'ez']","['w', 'r', 'i', 't', 'e']",ez
w,"['wg', 'a', 'r']","['w', 'a', 'r']",wg
v,"['n', 'o', 'vf']","['n', 'o', 'v']",vf
e,"['o', 'f', 'f', 'ej', 'r']","['o', 'f', 'f', 'e', 'r']",ej
l,"['b', 'lb', 'u', 'e']","['b', 'l', 'u', 'e']",lb
u,"['g', 'r', 'o', 'ug', 'p', 's']","['g', 'r', 'o', 'u', 'p', 's']",ug
e,"['ep', 'a', 's', 'y']","['e', 'a', 's', 'y']",ep
n,"['g', 'i', 'v', 'e', 'nr']","['g', 'i', 'v', 'e', 'n']",nr
s,"['f', 'i', 'l', 'e', 'sl']","['f', 'i', 'l', 'e', 's']",sl
n,"['e', 'v', 'e', 'ns', 't']","['e', 'v', 'e', 'n', 't']",ns
s,"['r', 'e', 'l', 'e', 'a', 'sh', 'e']","['r', 'e', 'l', 'e', 'a', 's', 'e']",sh
y,"['a', 'n', 'a', 'l', 'yr', 's', 'i', 's']","['a', 'n', 'a', 'l', 'y', 's', 'i', 's']",yr
u,"['r', 'e', 'q', 'uz', 'e', 's', 't']","['r', 'e', 'q', 'u', 'e', 's', 't']",uz
f,"['fa', 'a', 'x']","['f', 'a', 'x']",fa
a,"['c', 'h', 'i', 'n', 'aw']","['c', 'h', 'i', 'n', 'a']",aw
g,"['m', 'a', 'k', 'i', 'n', 'gb']","['m', 'a', 'k', 'i', 'n', 'g']",gb
c,"['p', 'i', 'ct', 't', 'u', 'r', 'e']","['p', 'i', 'c', 't', 'u', 'r', 'e']",ct
s,"['n', 'e', 'e', 'd', 'sm']","['n', 'e', 'e', 'd', 's']",sm
i,"['p', 'o', 's', 's', 'il', 'b', 'l', 'e']","['p', 'o', 's', 's', 'i', 'b', 'l', 'e']",il
h,"['m', 'i', 'g', 'he', 't']","['m', 'i', 'g', 'h', 't']",he
e,"['p', 'r', 'o', 'f', 'er', 's', 's', 'i', 'o', 'n', 'a', 'l']","['p', 'r', 'o', 'f', 'e', 's', 's', 'i', 'o', 'n', 'a', 'l']",er
y,"['ya', 'e', 't']","['y', 'e', 't']",ya
m,"['mr', 'o', 'n', 't', 'h']","['m', 'o', 'n', 't', 'h']",mr
